OBJECTID,ID,SUBNBHD,NHBD,DISTANCE,NBHD_NUM,NHBD_NO,DESCRIPTIO,SUBNBHD_NU,Shape_Length,Shape_Area,Shape_Length0,Shape_Area0
99,,B,002,,002 B,2,,,6787.86533498918,1032814.13886153,6787.86535431981,1032814.14087624
100,,A,002,,002 A,2,,,3315.37852295662,596836.477451376,3315.37850099044,596836.477744364
101,,A,054,,054 A,54,,,3517.87761334939,654233.820951157,3517.87759153135,654233.820374921
102,,B,054,,054 B,54,,,2798.62399859071,304917.755487685,2798.62398666376,304917.755660229
103,,C,049,,049 C,49,,,4863.56484740923,456167.131378016,4863.56483996699,456167.131853199
104,,B,049,,049 B,49,,,4465.01263699011,535323.143100873,4465.01263609722,535323.141270926
105,,A,049,,049 A,49,,,6086.88557649989,882856.976308961,6086.88557231942,882856.979679682
106,,B,032,,032 B,32,,,6362.98938540359,1308867.31395681,6362.98940741462,1308867.31239021
107,,A,032,,032 A,32,,,6732.84518410756,866901.972241725,6732.8451584672,866901.974262244
108,,G,040,,040 G,40,,,2862.48104248353,382957.527252835,2862.48103764009,382957.527526828
109,,A,040,,040 A,40,,,4389.79903683507,793360.038010306,4389.79902628063,793360.037122957
110,,B,040,,040 B,40,,,4149.0497923317,797956.165561669,4149.04977880046,797956.163872297
111,,C,040,,040 C,40,,,3870.45832555841,709685.979534811,3870.45832101007,709685.981018166
112,,D,040,,040 D,40,,,3947.58290488707,790225.780501909,3947.58288583524,790225.779153967
113,,E,040,,040 E,40,,,3634.01856616522,715008.529901551,3634.01855526186,715008.530238514
114,,F,040,,040 F,40,,,2724.55467919419,356165.325253701,2724.55467198331,356165.324883157
115,,D,039,,039 D,39,,,3156.8871234804,400370.371192132,3156.88710544174,400370.369267147
116,,C,039,,039 C,39,,,3065.50617073279,314698.33147369,3065.5061860519,314698.331878419
117,,B,031,,031 B,31,,,2390.54360647173,317847.843363442,2390.54360324533,317847.840688243
118,,A,031,,031 A,31,,,2635.47860362609,350450.390279111,2635.47859778945,350450.391154223
119,,D,043,,043 D,43,,,4288.7605372098,414409.851545585,4288.76053135846,414409.85226574
120,,A,033,,033 A,33,,,5947.3983242037,1131243.23477129,5947.39830218669,1131243.22976046
121,,B,033,,033 B,33,,,1180.43095109776,82263.1955504877,1180.43094302667,82263.1948100971
