coordinates,LATITUDE,LONGITUDE,FULLADDRESS,ZIPCODE,ASSESSMENT_NBHD,CLUSTER_,WARD,Units,Residential,mobilityscore
"38.8688316,-77.01825188",38.8688316,-77.01825188,221 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,54.0
"38.8675634,-77.01823116",38.8675634,-77.01823116,241 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.90749873,-76.94332398",38.90749873,-76.94332398,4300 ANACOSTIA AVENUE NE,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0,53.0
"38.87882265,-76.97541985",38.87882265,-76.97541985,1900 M STREET SE,20003,Anacostia Park,Cluster 26,Ward 6,16,0.0,49.0
"38.87269412,-76.99086222",38.87269412,-76.99086222,1105 O STREET SE,20003,Anacostia Park,Cluster 27,Ward 6,16,0.0,71.0
"38.90756232,-76.97813366",38.90756232,-76.97813366,1301 BLADENSBURG ROAD NE,20002,National Arboretum,Cluster 23,Ward 5,22,0.0,65.0
"38.87004386,-77.0182311",38.87004386,-77.0182311,201 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.86907681,-77.01822728",38.86907681,-77.01822728,217 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,54.0
"38.86805247,-77.01823796",38.86805247,-77.01823796,233 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.88364235,-76.97273804",38.88364235,-76.97273804,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.88363994,-76.97403835",38.88363994,-76.97403835,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,74.0
"38.88393585,-76.97276225",38.88393585,-76.97276225,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.88504451,-76.97276182",38.88504451,-76.97276182,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.88450374,-76.97275857",38.88450374,-76.97275857,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.88566175,-76.97426709999998",38.88566175,-76.97426709999998,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,74.0
"38.88533259,-76.97272345",38.88533259,-76.97272345,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.88635731,-76.97398861",38.88635731,-76.97398861,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,69.0
"38.88603647,-76.97295958",38.88603647,-76.97295958,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.88514257,-76.97374920000001",38.88514257,-76.97374920000001,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,74.0
"38.88617556,-76.97538989",38.88617556,-76.97538989,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,71.0
"38.88431176,-76.97391986",38.88431176,-76.97391986,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,74.0
"38.88521638,-76.97557624",38.88521638,-76.97557624,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,74.0
"38.9124031,-76.96989039",38.9124031,-76.96989039,3501 NEW YORK AVENUE NE,20002,National Arboretum,,Ward 5,22,0.0,65.0
"38.91262689,-76.94181625",38.91262689,-76.94181625,1550 ANACOSTIA AVENUE NE,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0,53.0
"38.88271416,-76.97573362",38.88271416,-76.97573362,1901 E STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,70.0
"38.87290264,-76.99054344",38.87290264,-76.99054344,1115 O STREET SE,20003,Anacostia Park,Cluster 27,Ward 6,16,0.0,68.0
"38.86932076,-77.01822965",38.86932076,-77.01822965,213 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,59.0
"38.92425705,-77.04525421",38.92425705,-77.04525421,,20009,National Zoological Park,Cluster 1,Ward 1,50,0.0,76.0
"38.86934525,-77.01582199",38.86934525,-77.01582199,210 4TH AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,51.0
"38.8695829,-77.0158142",38.8695829,-77.0158142,206 4TH AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,52.0
"38.86864431,-77.01581399",38.86864431,-77.01581399,222 4TH AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,53.0
"38.86888204,-77.01582188",38.86888204,-77.01582188,218 4TH AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,53.0
"38.93251282,-77.04965819",38.93251282,-77.04965819,,20009,National Zoological Park,,Ward 1,50,0.0,56.0
"38.91410729,-77.07868811",38.91410729,-77.07868811,4101 RESERVOIR ROAD NW,20007,Glover - Archbold Parkway,Cluster 4,Ward 2,2,0.0,54.0
"38.88430985,-76.97462269",38.88430985,-76.97462269,1910 MASSACHUSETTS AVENUE SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,74.0
"38.87916314,-76.97447654",38.87916314,-76.97447654,1950 M STREET SE,20003,Anacostia Park,Cluster 26,Ward 6,16,0.0,49.0
"38.91679913,-76.96739301",38.91679913,-76.96739301,2801 NEW YORK AVENUE NE,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.86860279,-77.01824122",38.86860279,-77.01824122,225 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.86781293,-77.01823122",38.86781293,-77.01823122,237 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.86730900000001,-77.01824711",38.86730900000001,-77.01824711,245 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.87118546,-77.01730974",38.87118546,-77.01730974,103 3RD AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.88849677,-76.97551242",38.88849677,-76.97551242,2001 EAST CAPITOL STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,72.0
"38.88521981,-76.97557417",38.88521981,-76.97557417,1900 MASSACHUSETTS AVENUE SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,74.0
"38.88213195,-76.97366652",38.88213195,-76.97366652,1905 E STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.87553837,-76.98570591",38.87553837,-76.98570591,1409 WATER STREET SE,20003,Anacostia Park,Cluster 27,Ward 6,16,0.0,61.0
"38.86956263,-77.018238",38.86956263,-77.018238,209 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,59.0
"38.93079959,-77.04735359",38.93079959,-77.04735359,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.87898567,-76.97488297",38.87898567,-76.97488297,,20003,Anacostia Park,Cluster 26,Ward 6,16,0.0,49.0
"38.8641446,-77.01585159999998",38.8641446,-77.01585159999998,408 4TH AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.86682931,-77.01822106",38.86682931,-77.01822106,253 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.88343091,-76.97637892",38.88343091,-76.97637892,1901 D STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,71.0
"38.86830839,-77.01824218",38.86830839,-77.01824218,229 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.87185503,-77.01683017",38.87185503,-77.01683017,300 A STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,59.0
"38.93061121,-77.05442859",38.93061121,-77.05442859,3001 CONNECTICUT AVENUE NW,20008,National Zoological Park,,Ward 3,50,0.0,53.0
"38.86979856,-77.01824152",38.86979856,-77.01824152,205 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,60.0
"38.86657779,-77.01823402",38.86657779,-77.01823402,257 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.90127897,-76.95211091",38.90127897,-76.95211091,650 ANACOSTIA AVENUE NE,20019,DC Stadium Area,Cluster 30,Ward 7,57,0.0,53.0
"38.88979064,-76.97189541",38.88979064,-76.97189541,2400 EAST CAPITOL STREET SE,20003,DC Stadium Area,Cluster 25,Ward 7,57,0.0,51.0
"38.8856771,-76.9770537",38.8856771,-76.9770537,192 19TH STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,77.0
"38.90356872,-76.95461077",38.90356872,-76.95461077,,20019,DC Stadium Area,Cluster 30,Ward 7,57,0.0,53.0
"38.91278786,-76.94179824",38.91278786,-76.94179824,,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0,53.0
"38.91262251,-76.9418935",38.91262251,-76.9418935,,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0,53.0
"38.91261515,-76.94050354",38.91261515,-76.94050354,,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0,53.0
"38.91261048,-76.94179793",38.91261048,-76.94179793,,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0,53.0
"38.91245492,-76.94182365",38.91245492,-76.94182365,,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0,53.0
"38.91268605,-76.94088121",38.91268605,-76.94088121,,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0,53.0
"38.88257888,-76.97378749",38.88257888,-76.97378749,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.87577993,-76.98536601",38.87577993,-76.98536601,,20003,Anacostia Park,Cluster 27,Ward 6,16,0.0,61.0
"38.87887376,-76.97474183",38.87887376,-76.97474183,,20003,Anacostia Park,Cluster 26,Ward 6,16,0.0,49.0
"38.92953939,-77.05186457",38.92953939,-77.05186457,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.92746003,-77.04644756",38.92746003,-77.04644756,,20008,National Zoological Park,,Ward 3,50,0.0,60.0
"38.92919319,-77.04832048",38.92919319,-77.04832048,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.92993766,-77.04827532",38.92993766,-77.04827532,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.93109459,-77.05285294",38.93109459,-77.05285294,,20008,National Zoological Park,,Ward 3,50,0.0,53.0
"38.92937558,-77.04924509",38.92937558,-77.04924509,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.87193744,-77.01930155",38.87193744,-77.01930155,,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.93161135,-77.05356666",38.93161135,-77.05356666,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.92897062,-77.04760126",38.92897062,-77.04760126,,20008,National Zoological Park,,Ward 3,50,0.0,51.0
"38.92977308,-77.04738497",38.92977308,-77.04738497,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.93148281,-77.05195156",38.93148281,-77.05195156,,20008,National Zoological Park,,Ward 3,50,0.0,54.0
"38.9310598,-77.05087267",38.9310598,-77.05087267,,20008,National Zoological Park,,Ward 3,50,0.0,54.0
"38.92980336,-77.04952494",38.92980336,-77.04952494,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.92800347,-77.04741228",38.92800347,-77.04741228,,20008,National Zoological Park,,Ward 3,50,0.0,52.0
"38.93112651,-77.0511637",38.93112651,-77.0511637,,20008,National Zoological Park,,Ward 3,50,0.0,54.0
"38.93028857,-77.05114038",38.93028857,-77.05114038,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.92998622,-77.04932543",38.92998622,-77.04932543,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.93191045,-77.05251112",38.93191045,-77.05251112,,20008,National Zoological Park,,Ward 3,50,0.0,54.0
"38.93042325,-77.04881782",38.93042325,-77.04881782,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.92703677,-77.04612772",38.92703677,-77.04612772,,20008,National Zoological Park,,Ward 3,50,0.0,60.0
"38.92933405,-77.05256055",38.92933405,-77.05256055,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.93028886,-77.05046696",38.93028886,-77.05046696,,20008,National Zoological Park,,Ward 3,50,0.0,51.0
"38.93020444,-77.04987906",38.93020444,-77.04987906,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.93195076,-77.05200322",38.93195076,-77.05200322,,20008,National Zoological Park,,Ward 3,50,0.0,54.0
"38.92997175,-77.05195611",38.92997175,-77.05195611,,20008,National Zoological Park,,Ward 3,50,0.0,51.0
"38.93183436,-77.05324159",38.93183436,-77.05324159,,20008,National Zoological Park,,Ward 3,50,0.0,53.0
"38.91692989,-76.95506108",38.91692989,-76.95506108,3600 NEW YORK AVENUE NE,20002,National Arboretum,Cluster 24,Ward 5,22,0.0,49.0
"38.92783391,-77.04792007",38.92783391,-77.04792007,,20008,National Zoological Park,,Ward 3,50,0.0,52.0
"38.9301296,-77.0474423",38.9301296,-77.0474423,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.92763370000001,-77.04693274",38.92763370000001,-77.04693274,,20008,National Zoological Park,,Ward 3,50,0.0,52.0
"38.92498058,-77.04740255",38.92498058,-77.04740255,,20009,National Zoological Park,Cluster 1,Ward 1,50,0.0,49.0
"38.92607225,-77.04791843",38.92607225,-77.04791843,,20009,National Zoological Park,,Ward 1,50,0.0,49.0
"38.87080935,-77.01796671",38.87080935,-77.01796671,,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.92426053,-77.04648527",38.92426053,-77.04648527,,20009,National Zoological Park,Cluster 1,Ward 1,50,0.0,76.0
"38.92506965,-77.04696334",38.92506965,-77.04696334,,20009,National Zoological Park,Cluster 1,Ward 1,50,0.0,49.0
"38.8698145,-77.01581425",38.8698145,-77.01581425,202 4TH AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,52.0
"38.87100482,-77.01859664",38.87100482,-77.01859664,109 1ST AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,59.0
"38.87185428,-77.01706537",38.87185428,-77.01706537,,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,59.0
"38.93034161,-77.09531762",38.93034161,-77.09531762,,20016,Fort Drive,Cluster 13,Ward 3,2,0.0,51.0
"38.92534615,-77.08199275",38.92534615,-77.08199275,,20007,Glover - Archbold Parkway,Cluster 14,Ward 3,2,0.0,56.0
"38.89685382,-76.96397587",38.89685382,-76.96397587,,20019,DC Stadium Area,,Ward 7,57,0.0,66.0
"38.88984129,-76.96469452",38.88984129,-76.96469452,,20019,DC Stadium Area,,Ward 7,57,0.0,49.0
"38.87223259,-76.98946998",38.87223259,-76.98946998,,20003,Anacostia Park,,Ward 6,16,0.0,69.0
"38.8770092,-76.97830206",38.8770092,-76.97830206,,20003,Anacostia Park,,Ward 6,16,0.0,67.0
"38.91191879,-76.97605033",38.91191879,-76.97605033,,20002,National Arboretum,,Ward 5,22,0.0,57.0
"38.91569713,-76.95729317",38.91569713,-76.95729317,,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.90909964,-76.96501093",38.90909964,-76.96501093,,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.91072688,-76.95986744",38.91072688,-76.95986744,,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.91217654,-76.96886026",38.91217654,-76.96886026,,20002,National Arboretum,,Ward 5,22,0.0,62.0
"38.90779281,-76.96887221",38.90779281,-76.96887221,,20002,National Arboretum,,Ward 5,22,0.0,51.0
"38.91043819,-76.97358274",38.91043819,-76.97358274,,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.91205794,-76.97188017",38.91205794,-76.97188017,,20002,National Arboretum,,Ward 5,22,0.0,66.0
"38.91257135,-76.95543407",38.91257135,-76.95543407,,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.91345186,-76.9685568",38.91345186,-76.9685568,,20002,National Arboretum,,Ward 5,22,0.0,58.0
"38.90762177,-76.96573743",38.90762177,-76.96573743,,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.91024184,-76.96759709",38.91024184,-76.96759709,,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.9147494,-76.95594236",38.9147494,-76.95594236,,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.88987232,-76.97294314",38.88987232,-76.97294314,2400 EAST CAPITOL STREET NE,20003,DC Stadium Area,Cluster 25,Ward 7,57,0.0,51.0
"38.92992909,-77.04741356",38.92992909,-77.04741356,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.87909274,-76.97466684",38.87909274,-76.97466684,,20003,Anacostia Park,Cluster 26,Ward 6,16,0.0,49.0
"38.93133923,-77.05391453",38.93133923,-77.05391453,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.87116228,-77.01862941",38.87116228,-77.01862941,105 1ST AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.89328324,-76.96629428",38.89328324,-76.96629428,,20019,DC Stadium Area,,Ward 7,57,0.0,49.0
"38.9123068,-76.97323925",38.9123068,-76.97323925,,20002,National Arboretum,,Ward 5,22,0.0,68.0
"38.91652195,-76.96375284",38.91652195,-76.96375284,,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.92844399,-77.04934144",38.92844399,-77.04934144,,20008,National Zoological Park,,Ward 3,50,0.0,49.0
"38.92675620000001,-77.04846414",38.92675620000001,-77.04846414,,20009,National Zoological Park,,Ward 1,50,0.0,49.0
"38.91274255,-76.94179643",38.91274255,-76.94179643,,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0,53.0
"38.88831358,-76.97706646",38.88831358,-76.97706646,102 19TH STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,80.0
"38.86910752,-77.01580626",38.86910752,-77.01580626,214 4TH AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,53.0
"38.88721683,-76.97667492",38.88721683,-76.97667492,1901 INDEPENDENCE AVENUE SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,78.0
"38.88517296,-76.97194586",38.88517296,-76.97194586,2600 INDEPENDENCE AVENUE SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.86706722,-77.01824082",38.86706722,-77.01824082,249 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.91152136,-76.96955005",38.91152136,-76.96955005,,20002,National Arboretum,,Ward 5,22,0.0,62.0
"38.89706555,-76.96182365",38.89706555,-76.96182365,,20019,DC Stadium Area,,Ward 7,57,0.0,71.0
"38.88016546,-76.97193377",38.88016546,-76.97193377,,20003,DC Stadium Area,,Ward 6,57,0.0,49.0
"38.92939253,-77.09471963",38.92939253,-77.09471963,,20016,Fort Drive,Cluster 13,Ward 3,2,0.0,49.0
"38.93002553,-77.05413878",38.93002553,-77.05413878,,20008,National Zoological Park,,Ward 3,50,0.0,68.0
"38.93142005,-77.05268768",38.93142005,-77.05268768,,20008,National Zoological Park,,Ward 3,50,0.0,62.0
"38.92855199,-77.0467336",38.92855199,-77.0467336,,20008,National Zoological Park,,Ward 3,50,0.0,52.0
"38.9293499,-77.04663713",38.9293499,-77.04663713,,20008,National Zoological Park,,Ward 3,50,0.0,51.0
"38.92852547,-77.0461401",38.92852547,-77.0461401,,20008,National Zoological Park,,Ward 3,50,0.0,51.0
"38.89787907,-76.96360911",38.89787907,-76.96360911,,20002,DC Stadium Area,,Ward 5,57,0.0,59.0
"38.88421845,-76.97277954",38.88421845,-76.97277954,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.89645025,-76.96935717",38.89645025,-76.96935717,575 OKLAHOMA AVENUE NE,20019,DC Stadium Area,Cluster 25,Ward 7,57,0.0,60.0
"38.87128901,-76.99002844",38.87128901,-76.99002844,,20003,Anacostia Park,,Ward 8,16,0.0,69.0
"38.87196543,-76.98981711",38.87196543,-76.98981711,,20003,Anacostia Park,,Ward 6,16,0.0,69.0
"38.87201686,-76.98965278",38.87201686,-76.98965278,,20003,Anacostia Park,,Ward 6,16,0.0,69.0
"38.87156939,-77.01852868",38.87156939,-77.01852868,45 1ST AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.87188913,-77.0177296",38.87188913,-77.0177296,,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.87185846,-77.01744588",38.87185846,-77.01744588,210 A STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.87139515,-77.01619488",38.87139515,-77.01619488,309 A STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,59.0
"38.86312244,-77.01698585",38.86312244,-77.01698585,,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.8716992,-77.01852480000002",38.8716992,-77.01852480000002,41 1ST AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.86633663,-77.01823741",38.86633663,-77.01823741,100 C STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.87049860000001,-77.01827477",38.87049860000001,-77.01827477,102 B STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,59.0
"38.8704651,-77.01636268",38.8704651,-77.01636268,302 B STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,59.0
"38.87159999,-77.01816189",38.87159999,-77.01816189,102 A STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.87110292,-77.01556609",38.87110292,-77.01556609,110 4TH AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.87154409,-77.01783576",38.87154409,-77.01783576,206 A STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.87168758,-77.01607868",38.87168758,-77.01607868,31 4TH AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,60.0
"38.87085403,-77.0161406",38.87085403,-77.0161406,111 4TH AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,60.0
"38.87047908,-77.01753347",38.87047908,-77.01753347,210 B STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.87093773,-77.01667473",38.87093773,-77.01667473,102 3RD AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,59.0
"38.87187343,-77.01908028",38.87187343,-77.01908028,,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.86631973,-77.01683105",38.86631973,-77.01683105,262 3RD AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.86694487,-77.0170915",38.86694487,-77.0170915,251 3RD AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,51.0
"38.86584472,-77.01677609",38.86584472,-77.01677609,302 3RD AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.87134192,-77.0186033",38.87134192,-77.0186033,101 1ST AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.87005927,-77.01573572",38.87005927,-77.01573572,401 B STREET SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,52.0
"38.87053288,-77.01799269",38.87053288,-77.01799269,206 B STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.87066265,-77.01822008",38.87066265,-77.01822008,114 1ST AVENUE SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.87046414,-77.01553207",38.87046414,-77.01553207,404 B STREET SW,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,55.0
"38.86749863,-77.01576281",38.86749863,-77.01576281,242 4TH AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,53.0
"38.87187357,-77.01815493",38.87187357,-77.01815493,,20319,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
"38.88336251,-76.97297454",38.88336251,-76.97297454,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,49.0
"38.88477032,-76.97367638",38.88477032,-76.97367638,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,74.0
"38.9122205,-76.97170082",38.9122205,-76.97170082,,20002,National Arboretum,,Ward 5,22,0.0,67.0
"38.87923793,-76.97403800000002",38.87923793,-76.97403800000002,,20003,Anacostia Park,Cluster 26,Ward 6,16,0.0,49.0
"38.86137835,-77.01813613",38.86137835,-77.01813613,,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,49.0
"38.8762363,-76.98447186",38.8762363,-76.98447186,1499 WATER STREET SE,20003,Anacostia Park,Cluster 27,Ward 6,16,0.0,50.0
"38.88574893,-76.97709494",38.88574893,-76.97709494,150 19TH STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,77.0
"38.88528156,-76.97700335",38.88528156,-76.97700335,1901 C STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,76.0
"38.885412,-76.97702071",38.885412,-76.97702071,1900 C STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,76.0
"38.88566434,-76.97706051",38.88566434,-76.97706051,290 19TH STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,77.0
"38.93336039,-77.05365194",38.93336039,-77.05365194,,20008,National Zoological Park,Cluster 15,Ward 3,50,0.0,57.0
"38.88489259,-76.97708761",38.88489259,-76.97708761,310 19TH STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,75.0
"38.88823664,-76.97687376",38.88823664,-76.97687376,1902 INDEPENDENCE AVENUE SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,80.0
"38.93089553,-77.05500812",38.93089553,-77.05500812,3103 CONNECTICUT AVENUE NW,20008,National Zoological Park,Cluster 15,Ward 3,50,0.0,53.0
"38.89323377,-76.97233438",38.89323377,-76.97233438,251 OKLAHOMA AVENUE NE,20019,DC Stadium Area,Cluster 25,Ward 7,57,0.0,49.0
"38.9086356,-76.97542699",38.9086356,-76.97542699,,20002,National Arboretum,,Ward 5,22,0.0,49.0
"38.89034699,-76.97577724",38.89034699,-76.97577724,1910 EAST CAPITOL STREET NE,20002,DC Stadium Area,Cluster 25,Ward 6,57,0.0,59.0
"38.9306475,-77.05545853",38.9306475,-77.05545853,3101 CONNECTICUT AVENUE NW,20008,National Zoological Park,Cluster 15,Ward 3,50,0.0,53.0
"38.88855755,-76.97699964",38.88855755,-76.97699964,100 19TH STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,81.0
"38.88564783,-76.976969",38.88564783,-76.976969,292 19TH STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0,77.0
"38.92873966,-77.04763951",38.92873966,-77.04763951,,20008,National Zoological Park,,Ward 3,50,0.0,52.0
"38.92874845,-77.04706345",38.92874845,-77.04706345,,20008,National Zoological Park,,Ward 3,50,0.0,52.0
"38.87089785,-77.01788354",38.87089785,-77.01788354,201 A STREET SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746,61.0
